NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT03569683,"Comparison Between Laser, Synthetic Gel and Herbal Gel as Topical Agents After Gum Surgery",https://clinicaltrials.gov/study/NCT03569683,Completed,Gingival Overgrowth,PROCEDURE: External bevel gingivectomy|DEVICE: Diode laser Biostimulation|OTHER: Hyaluronic acid (Gengigel) topical application.|OTHER: Herbal gel (Hiora SG) topical application,Panineeya Mahavidyalaya Institute of Dental Sciences & Research Centre,Not available,INTERVENTIONAL
NCT03568383,Protecting Households On Exposure to Newly Diagnosed Index Multidrug-Resistant Tuberculosis Patients,https://clinicaltrials.gov/study/NCT03568383,Active Not Recruiting,"Tuberculosis, MDR",DRUG: Delamanid (DLM)|DRUG: Isoniazid (INH)|DIETARY_SUPPLEMENT: Pyridoxine (vitamin B6),National Institute of Allergy and Infectious Diseases (NIAID),"Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|Otsuka Pharmaceutical Development & Commercialization, Inc.",INTERVENTIONAL
NCT03567798,Thrombocytopenia Induced by Chemotherapy,https://clinicaltrials.gov/study/NCT03567798,Completed,Thrombocytopenia,DIETARY_SUPPLEMENT: UPLAT|OTHER: Placebo,Socrates School Of Health,Not available,INTERVENTIONAL
NCT03567421,"Ureteral Stenting After Ureteroscopy for Stone Treatment, A Global Perspective on Indications and Outcomes",https://clinicaltrials.gov/study/NCT03567421,Completed,"Stone;Renal|Stone, Kidney|Stone Ureter",Not available,Société Internationale d'Urologie,Not available,OBSERVATIONAL
NCT03566914,Tadalafil for Erectile Dysfunction in Patients With Cirrhosis,https://clinicaltrials.gov/study/NCT03566914,Completed,Cirrhosis,DRUG: Tadalafil 10 MG|OTHER: Placebo,"Institute of Liver and Biliary Sciences, India",Not available,INTERVENTIONAL
NCT03566368,Cardiac Dysfunction in Traumatic Brain Injury,https://clinicaltrials.gov/study/NCT03566368,Completed,"Trauma, Head|Cardiac Complication",DIAGNOSTIC_TEST: Electrocardiogram|DIAGNOSTIC_TEST: Transthoracic Echocardiogram|DIAGNOSTIC_TEST: Cardiac enzyme - Troponin I Levels,"National Institute of Mental Health and Neuro Sciences, India",Not available,OBSERVATIONAL
NCT03566212,Efficacy of Camouflaged Syringe vs Conventional Syringe,https://clinicaltrials.gov/study/NCT03566212,Completed,Dental Anxiety|Behavior,DEVICE: Conventional Syringe|DEVICE: Camouflage Syringe,Sneha D. Suwarnkar,Not available,INTERVENTIONAL
NCT03565237,RIXUBIS PMS India (RIXUBIS PMS),https://clinicaltrials.gov/study/NCT03565237,Completed,Hemophilia B,BIOLOGICAL: RIXUBIS: On-Demand|BIOLOGICAL: RIXUBIS: Prophylaxis,Baxalta now part of Shire,"Baxalta Innovations GmbH, now part of Shire",INTERVENTIONAL
NCT03564938,Regorafenib in Indian Patients With Metastatic Colorectal Cancer (mCRC).,https://clinicaltrials.gov/study/NCT03564938,Completed,Metastatic Colorectal Cancer,"DRUG: Regorafenib (Stivarga, BAY73-4506)",Bayer,Not available,INTERVENTIONAL
NCT03564574,To Study the Effects of Lipid Emulsion on Hemodynamics in Organophosphate Compound Poisoning,https://clinicaltrials.gov/study/NCT03564574,Completed,Organophosphate Poisoning,COMBINATION_PRODUCT: Lipid Emulsion,"Post Graduate Institute of Medical Education and Research, Chandigarh",Not available,INTERVENTIONAL
NCT03564535,Comparison of Self Fixating Mesh to Mesh Fixation With Metallic Tacks in Laparoscopic Inguinal Hernia Repair,https://clinicaltrials.gov/study/NCT03564535,Unknown,Inguinal Hernia|Adult,DEVICE: Self fixating group|DEVICE: Tacker fixation group,"All India Institute of Medical Sciences, Bhubaneswar",Not available,INTERVENTIONAL
NCT03563742,A Study to Determine the Safety and Efficacy of Rilpivirine in Treatment-naive Indian Participants With Human Immunodeficiency Virus Type 1 (HIV-1) Infection,https://clinicaltrials.gov/study/NCT03563742,Terminated,Human Immunodeficiency Virus Infections,DRUG: Rilpivirine 25 mg|DRUG: Tenofovir Disoproxil Fumarate (TDF)/Lamivudine (3TC),"Janssen Research & Development, LLC",Not available,INTERVENTIONAL
NCT03563092,Closed Suction Drain vs no Drain on Symptomatic Seroma Formation After Laparoscopic Inguinal Hernia Repair,https://clinicaltrials.gov/study/NCT03563092,Completed,Inguinal Hernia Without Obstruction or Gangrene,PROCEDURE: Laparoscopic Inguinal Hernia (TEP/TAPP) Surgery,GEM Hospital & Research Center,Not available,INTERVENTIONAL
NCT03563053,Extension Treatment Using EryDex System in Patients With AT Who Participated in the ATTeST-IEDAT-02-2015 Study,https://clinicaltrials.gov/study/NCT03563053,Terminated,Ataxia Telangiectasia|Genetic Syndrome,COMBINATION_PRODUCT: EryDex System,Quince Therapeutics S.p.A.,Not available,INTERVENTIONAL
NCT03562819,Study to Evaluate Concordance of Detecting EGFR (Epidermal Growth Factor Receptor) Mutation by Circulating Tumour Free DNA Versus Tissues Biopsy in NSCLC (Non-small Cell Lung Cancer).,https://clinicaltrials.gov/study/NCT03562819,Completed,NSCLC (Non-small Cell Lung Cancer),Not available,AstraZeneca,Not available,OBSERVATIONAL
NCT03561961,Prostate Radiotherapy Comparing Moderate and Extreme Hypo-fractionation (PRIME Trial),https://clinicaltrials.gov/study/NCT03561961,Active Not Recruiting,Prostate Adenocarcinoma,RADIATION: Moderate Hypo-fractionation|RADIATION: Extreme Hypo-fractionation,Tata Memorial Centre,Tata Medical Center,INTERVENTIONAL
NCT03560115,Normative Value of Single Heel-rise Test in School-going Children Along With Its Inter-session Agreement,https://clinicaltrials.gov/study/NCT03560115,Completed,Healthy,DIAGNOSTIC_TEST: Single-heel rise test,Asir John Samuel,Not available,OBSERVATIONAL
NCT03556358,"Trial to Compare the Safety, Efficacy and Immunogenicity of TX05 With Herceptin® in HER2+ Early Breast Cancer",https://clinicaltrials.gov/study/NCT03556358,Completed,Breast Cancer|Breast Neoplasms|HER2-positive Breast Cancer|Stage II Breast Cancer|Stage IIIA Breast Cancer,BIOLOGICAL: TX05 (trastuzumab)|BIOLOGICAL: Herceptin®|DRUG: Paclitaxel|DRUG: Epirubicin|DRUG: Cyclophosphamide,"Tanvex BioPharma USA, Inc.",Not available,INTERVENTIONAL
NCT03556163,Modified Vertical Internal Mattress Suture Versus Simple Loop Interrupted Suture.,https://clinicaltrials.gov/study/NCT03556163,Completed,Healing Surgical Wounds|Periodontitis,PROCEDURE: Modified vertical internal mattress sutures + MWF surgery.|PROCEDURE: Simple loop interrupted sutures + MWF surgery.,Postgraduate Institute of Dental Sciences Rohtak,Not available,INTERVENTIONAL
NCT03555344,Effect of Mantra on Hypertensive Patients,https://clinicaltrials.gov/study/NCT03555344,Completed,High Blood Pressure,OTHER: Mantra Chikitsa,NMP Medical Research Institute,"Warwick Research Services|Swamigal Trust for Vedic Science, India",INTERVENTIONAL
NCT03554681,Prediction of Preeclampsia (PE) at 11-13 Week,https://clinicaltrials.gov/study/NCT03554681,Completed,Pre-Eclampsia,Not available,Chiu Yee Liona Poon,Not available,OBSERVATIONAL
NCT03554213,"Typhoid Conjugate Vaccine Introduction in Navi Mumbai, India",https://clinicaltrials.gov/study/NCT03554213,Completed,Enteric Fever|Typhoid Fever|Salmonella Typhi Infection,BIOLOGICAL: Typhoid Conjugate Vaccine,Stanford University,"Centers for Disease Control and Prevention|World Health Organization|National Institute of Cholera and Enteric Diseases, India|Bill and Melinda Gates Foundation",OBSERVATIONAL
NCT03552835,Management of Occlusal Dentinal Caries in Deciduous Molars,https://clinicaltrials.gov/study/NCT03552835,Completed,"Caries, Dental",PROCEDURE: no caries removal|PROCEDURE: partial caries removal upto soft dentin|PROCEDURE: partial caries removal upto firm dentin,Sneha D. Suwarnkar,Not available,INTERVENTIONAL
NCT03552757,Research Study Investigating How Well Semaglutide Works in People With Type 2 Diabetes Suffering From Overweight or Obesity,https://clinicaltrials.gov/study/NCT03552757,Completed,Obesity|Overweight,DRUG: Semaglutide 1.0 mg|DRUG: Semaglutide 2.4 mg|DRUG: Placebo I (Semaglutide)|DRUG: Placebo II (Semaglutide),Novo Nordisk A/S,Not available,INTERVENTIONAL
NCT03549754,iCaReMe Global Registry,https://clinicaltrials.gov/study/NCT03549754,Recruiting,Type 2 Diabetes|Hypertension|Chronic Kidney Disease|Heart Failure,Not available,AstraZeneca,Not available,OBSERVATIONAL
NCT03548935,STEP 1: Research Study Investigating How Well Semaglutide Works in People Suffering From Overweight or Obesity,https://clinicaltrials.gov/study/NCT03548935,Completed,Metabolism and Nutrition Disorder|Overweight or Obesity,DRUG: Semaglutide|DRUG: Placebo (semaglutide),Novo Nordisk A/S,Not available,INTERVENTIONAL
NCT03548805,Ologen® Collagen Matrix Versus Mitomycin-C in Patients With Juvenile-onset Open Angle Glaucoma,https://clinicaltrials.gov/study/NCT03548805,Completed,Open Angle Glaucoma,PROCEDURE: ologen® Collagen Matrix|PROCEDURE: Trabeculectomy with low dose mitomycin C,L.V. Prasad Eye Institute,Not available,INTERVENTIONAL
NCT03548337,"Study To Describe The Safety, Tolerability, And Immunogenicity Of 13- Valent Pneumococcal Conjugate Vaccine Formulated In Multidose Vials When Given With Routine Pediatric Vaccines In Healthy Infants In India",https://clinicaltrials.gov/study/NCT03548337,Completed,Vaccines,BIOLOGICAL: 13vPnC,Pfizer,Not available,INTERVENTIONAL
NCT03546712,Estimating Error in Locating Touch Sensation on Forearm in Healthy Middle School Going Children,https://clinicaltrials.gov/study/NCT03546712,Completed,Healthy,OTHER: Tactile Localization,Maharishi Markendeswar University (Deemed to be University),Not available,OBSERVATIONAL
NCT03546023,Brief Pain Inventory to Assess Cancer Pain and Quality of Life,https://clinicaltrials.gov/study/NCT03546023,Completed,Chronic Cancer Pain,OTHER: Patient Interview,Tata Memorial Hospital,Not available,OBSERVATIONAL
NCT03543904,Pre-operative and Post-operative Physiotherapy in Children With Abdominal Surgery,https://clinicaltrials.gov/study/NCT03543904,Completed,Abdominal Surgery,PROCEDURE: Pre-operative physiotherapy education|PROCEDURE: Post-operative physiotherapy intervention,Asir John Samuel,Not available,INTERVENTIONAL
NCT03543020,Radiation- Induced Alopecia in Patients Undergoing Radiation Therapy to the Brain,https://clinicaltrials.gov/study/NCT03543020,Terminated,Alopecia; X-Rays,RADIATION: radiation therapy to brain,Fortis Memorial Research Institute,Not available,OBSERVATIONAL
NCT03541551,Ologen® Collagen Matrix in Patients With Primary Congenital Glaucoma Undergoing Trabeculectomy,https://clinicaltrials.gov/study/NCT03541551,Completed,Primary Congenital Glaucoma|Developmental Glaucoma|Infantile Glaucoma,PROCEDURE: CTT with ologen® Collagen Matrix|PROCEDURE: Trab Trab,L.V. Prasad Eye Institute,Not available,INTERVENTIONAL
NCT03540446,First Relief Treatment for Peripheral Neuropathy,https://clinicaltrials.gov/study/NCT03540446,Unknown,Peripheral Neuropathy,DEVICE: First Relief Treatment,"DyAnsys, Inc.",Not available,INTERVENTIONAL
NCT03537170,"Dietary Assessment and Prevalence of Refeeding Syndrome in High-risk TB Patients in Chhattisgarh, India",https://clinicaltrials.gov/study/NCT03537170,Completed,Tuberculosis|Refeeding Syndrome|Severe Malnutrition,Not available,Washington University School of Medicine,Not available,OBSERVATIONAL
NCT03533972,Effect of Ashwagandha on Salivary Antioxidant and Serum c Reactive Protein in Chronic Generalized Periodontitis,https://clinicaltrials.gov/study/NCT03533972,Completed,Chronic Periodontitis,DRUG: Ashwagandha|OTHER: Placebo,Tatyasaheb Kore Dental College,Not available,INTERVENTIONAL
NCT03533725,Breastfeeding Education Support Tool for Baby,https://clinicaltrials.gov/study/NCT03533725,Completed,Breastfeeding,OTHER: Breastfeeding counseling and education services,Thomas Jefferson University,Jawaharlal Nehru Medical College,INTERVENTIONAL
NCT03531515,Predictors of Reactive Thrombocytosis in Critically Ill Septic Patients,https://clinicaltrials.gov/study/NCT03531515,Unknown,Sepsis|Thrombocytosis|Critically Ill,Not available,Sanjay Gandhi Postgraduate Institute of Medical Sciences,Not available,OBSERVATIONAL
NCT03530254,Clinical Study of PGT-A Versus PGT-A+ERA,https://clinicaltrials.gov/study/NCT03530254,Terminated,Infertility of Uterine Origin,DIAGNOSTIC_TEST: PGT-A|DIAGNOSTIC_TEST: ERA Test,Igenomix,Not available,INTERVENTIONAL
NCT03529123,Efficacy and Safety of the Insulin Glargine/Lixisenatide Fixed Ratio Combination Versus Insulin Glargine in Patients With Type 2 Diabetes (LixiLan-India),https://clinicaltrials.gov/study/NCT03529123,Completed,Type 2 Diabetes Mellitus,DRUG: INSULIN GLARGINE/LIXISENATIDE (HOE901/AVE0010)|DRUG: INSULIN GLARGINE (HOE901)|DRUG: Metformin|DRUG: Insulin Glulisine (HMR1964),Sanofi,Not available,INTERVENTIONAL
NCT03529045,Registry of Subjects With Drug Resistant Epilepsy and Treated With the VNS Therapy System.,https://clinicaltrials.gov/study/NCT03529045,Completed,Epilepsy|Seizures|Drug Resistant Epilepsy,DEVICE: Vagus Nerve Stimulation (VNS) Therapy,LivaNova,Not available,OBSERVATIONAL
NCT03528681,A Study to Investigate the Safety and Efficacy of ZS in Patients With Hyperkalemia.,https://clinicaltrials.gov/study/NCT03528681,Completed,Hyperkalemia,DRUG: Sodium Zirconium Cyclosilicate 5g|DRUG: Sodium Zirconium Cyclosilicate 10g|DRUG: Placebo,AstraZeneca,Not available,INTERVENTIONAL
NCT03526965,Yoga Chikitsa for Neck Pain Caused by Cervical Spondylosis,https://clinicaltrials.gov/study/NCT03526965,Completed,Cervical Spondylosis,OTHER: Yoga Chikitsa|DRUG: Usual care,NMP Medical Research Institute,Warwick Research Services,INTERVENTIONAL
NCT03526770,Comparison of 5 Buffering Agents on Changes in Salivary pH in Individuals Previously Exposed to a Test Carbonated Drink,https://clinicaltrials.gov/study/NCT03526770,Completed,Saliva Altered|Oral Hygiene|pH|Tooth Structure; Disorder,OTHER: Group 1: no intervention|OTHER: Group 2: tap water gargle|DRUG: Group 3: 0.2% Chlorhexidine|OTHER: Group 4: Fluoridated tooth paste|OTHER: Group 5: Polyol containing gum|OTHER: Group 6: 1% sodium bicarbonate solution,Dr Meru S,Not available,INTERVENTIONAL
NCT03524092,A Maintenance Study of Mirikizumab in Participants With Moderately to Severely Active Ulcerative Colitis,https://clinicaltrials.gov/study/NCT03524092,Completed,Ulcerative Colitis,DRUG: Mirikizumab SC|DRUG: Mirikizumab IV|DRUG: Placebo SC,Eli Lilly and Company,Not available,INTERVENTIONAL
NCT03521466,Medical Student Counseling for Hospitalized Patients Addicted to Tobacco,https://clinicaltrials.gov/study/NCT03521466,Completed,Smoking Cessation Counselling|Medical Student Education,BEHAVIORAL: Smoking Cessation Counseling,University Hospitals Cleveland Medical Center,Government Calicut Medical College|Wayanad Institute of Medical Sciences|PSG Institute of Medical Science and Research,INTERVENTIONAL
NCT03521154,A Global Study to Assess the Effects of Osimertinib Following Chemoradiation in Patients With Stage III Unresectable Non-small Cell Lung Cancer (LAURA),https://clinicaltrials.gov/study/NCT03521154,Active Not Recruiting,Non Small Cell Lung Cancer (Stage III),DRUG: Osimertinib 80mg/40mg|DRUG: Placebo Osimertinib 80mg/40mg,AstraZeneca,Not available,INTERVENTIONAL
NCT03520595,Analgesic Efficacy of Arnica Montana in Comparison With Diclofenac Sodium Following a Periodontal Surgical Procedure,https://clinicaltrials.gov/study/NCT03520595,Completed,Crown Lengthening Procedure With Ostectomy,"DRUG: Arnica 200 drug 3 pills,3 times daily for 3 days|DRUG: Diclofenac Sodium 50mg twice daily|DRUG: Placebo pills and distilled water 3 pills,3 times daily",Tatyasaheb Kore Dental College,Not available,INTERVENTIONAL
NCT03519971,Study of Durvalumab Given With Chemoradiation Therapy in Patients With Unresectable Non-small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT03519971,Active Not Recruiting,Non-Small Cell Lung Cancer,DRUG: Durvalumab|OTHER: Placebo|DRUG: Cisplatin/ Etoposide|DRUG: Carboplatin/ Paclitaxel|DRUG: Pemetrexed/ Cisplatin|DRUG: Pemetrexed/ Carboplatin|RADIATION: Radiation,AstraZeneca,Not available,INTERVENTIONAL
NCT03519945,A Study to Evaluate the Long-Term Efficacy and Safety of Mirikizumab in Participants With Moderately to Severely Active Ulcerative Colitis (LUCENT 3),https://clinicaltrials.gov/study/NCT03519945,Active Not Recruiting,Ulcerative Colitis,DRUG: Mirikizumab,Eli Lilly and Company,Not available,INTERVENTIONAL
NCT03519165,Restrictive or Individualized Goal-Directed Fluid Replacement Strategy in Ovarian Cancer Cytoreductive Surgery,https://clinicaltrials.gov/study/NCT03519165,Completed,Ovarian Cancer,DEVICE: EV1000(FloTrac System 4.0),Tata Medical Center,Not available,INTERVENTIONAL
NCT03519152,To Compare Efficacy of Low Dose Diclofenac (25mg) in Management of Postoperative Pain After Periodontal Flap Surgery,https://clinicaltrials.gov/study/NCT03519152,Completed,Chronic Periodontitis,DRUG: low dose diclofenac,Tatyasaheb Kore Dental College,Not available,INTERVENTIONAL
NCT03518853,Short Course Radiotherapy for Localized Prostate Cancer,https://clinicaltrials.gov/study/NCT03518853,Completed,Adenocarcinoma of Prostate,RADIATION: Short-course Hypofractionated Once-weekly Radiation Therapy,Tata Medical Center,Not available,INTERVENTIONAL
